"country","region","happiness_rank","happiness_score","standard_error","gdp_per_capita","family","life_expectancy","freedom","trust_government","generosity","dystopia_residual","year"
"Pakistan",NA,80,5.26900005340576,NA,5.35998364135623,5.17801646545529,0.72688353061676,0.672690689563751,0.23521526157856,0.402047783136368,NA,2017
"Indonesia",NA,81,5.26200008392334,NA,5.35288859814405,5.17111156970263,0.995538592338562,1.27444469928741,0.443323463201523,0.492345720529556,NA,2017
"Venezuela",NA,82,5.25,NA,5.3700319455564,5.1299680544436,1.12843120098114,1.43133759498596,0.153997123241425,0.617144227027893,NA,2017
"Montenegro",NA,83,5.23699998855591,NA,5.34104444056749,5.13295553654432,1.12112903594971,1.23837649822235,0.194989055395126,0.667464673519135,NA,2017
"Morocco",NA,84,5.2350001335144,NA,5.31834096476436,5.15165930226445,0.878114581108093,0.774864435195923,0.408158332109451,0.59771066904068,NA,2017
"Azerbaijan",NA,85,5.23400020599365,NA,5.29928653523326,5.16871387675405,1.15360176563263,1.15240025520325,0.398155838251114,0.540775775909424,NA,2017
"Dominican Republic",NA,86,5.23000001907349,NA,5.34906088516116,5.11093915298581,1.07937383651733,1.40241670608521,0.55258983373642,0.574873745441437,NA,2017
"Greece",NA,87,5.22700023651123,NA,5.3252461694181,5.12875430360436,1.28948748111725,1.23941457271576,0.0957312509417534,0.810198903083801,NA,2017
"Lebanon",NA,88,5.22499990463257,NA,5.31888228848577,5.13111752077937,1.07498753070831,1.12962424755096,0.288515985012054,0.735081076622009,NA,2017
"Portugal",NA,89,5.19500017166138,NA,5.28504173308611,5.10495861023665,1.3151752948761,1.36704301834106,0.498465299606323,0.795843541622162,NA,2017
"Bosnia and Herzegovina",NA,90,5.18200016021729,NA,5.27633568674326,5.08766463369131,0.982409417629242,1.0693359375,0.204403176903725,0.705186307430267,NA,2017
"Honduras",NA,91,5.18100023269653,NA,5.30158279687166,5.0604176685214,0.730573117733002,1.14394497871399,0.348079860210419,0.582569479942322,NA,2017
"Macedonia",NA,92,5.17500019073486,NA,5.27217263966799,5.07782774180174,1.06457793712616,1.20789301395416,0.325905978679657,0.644948184490204,NA,2017
"Somalia",NA,93,5.15100002288818,NA,5.24248370990157,5.0595163358748,0.0226431842893362,0.721151351928711,0.602126955986023,0.113989137113094,NA,2017
"Vietnam",NA,94,5.07399988174438,NA,5.14728076457977,5.000718998909,0.788547575473785,1.27749133110046,0.571055591106415,0.652168989181519,NA,2017
"Nigeria",NA,95,5.07399988174438,NA,5.20950013548136,4.93849962800741,0.783756256103516,1.21577048301697,0.394952565431595,0.0569157302379608,NA,2017
"Tajikistan",NA,96,5.04099988937378,NA,5.11142559587956,4.970574182868,0.524713635444641,1.27146327495575,0.471566706895828,0.529235124588013,NA,2017
"Bhutan",NA,97,5.01100015640259,NA,5.07933456212282,4.94266575068235,0.885416388511658,1.34012651443481,0.501537680625916,0.495879292488098,NA,2017
"Kyrgyzstan",NA,98,5.00400018692017,NA,5.08991990312934,4.91808047071099,0.596220076084137,1.39423859119415,0.454943388700485,0.553457796573639,NA,2017
"Nepal",NA,99,4.96199989318848,NA,5.06735607936978,4.85664370700717,0.479820191860199,1.17928326129913,0.440305948257446,0.504130780696869,NA,2017
"Mongolia",NA,100,4.95499992370605,NA,5.0216795091331,4.88832033827901,1.02723586559296,1.4930112361908,0.394143968820572,0.557783484458923,NA,2017
"South Africa",NA,101,4.8289999961853,NA,4.92943518772721,4.72856480464339,1.05469870567322,1.38478863239288,0.479246735572815,0.187080070376396,NA,2017
"Tunisia",NA,102,4.80499982833862,NA,4.88436700701714,4.72563264966011,1.00726580619812,0.868351459503174,0.289680689573288,0.613212049007416,NA,2017
"Palestinian Territories",NA,103,4.77500009536743,NA,4.88184834256768,4.66815184816718,0.716249227523804,1.15564715862274,0.25471106171608,0.565666973590851,NA,2017
"Egypt",NA,104,4.7350001335144,NA,4.82513378962874,4.64486647740006,0.989701807498932,0.997471392154694,0.282110154628754,0.520187258720398,NA,2017
"Bulgaria",NA,105,4.71400022506714,NA,4.80369470641017,4.62430574372411,1.1614590883255,1.43437945842743,0.289231717586517,0.708217680454254,NA,2017
